protocol_type,service,flag,src_bytes,dst_bytes,count,srv_count,logged_in,serror_rate,rerror_rate
tcp,ftp_data,SF,491,0,2,2,0,0.0,0.0
udp,other,SF,146,0,13,1,0,0.0,0.0
tcp,private,S0,0,0,123,6,0,1.0,0.0
tcp,http,SF,232,8153,5,5,1,0.2,0.0
tcp,http,SF,199,420,30,32,1,0.0,0.0
tcp,private,REJ,0,0,121,19,0,0.0,1.0
tcp,private,S0,0,0,166,9,0,1.0,0.0
tcp,private,S0,0,0,117,16,0,1.0,0.0
tcp,remote_job,S0,0,0,270,23,0,1.0,0.0
tcp,private,S0,0,0,133,8,0,1.0,0.0
tcp,private,REJ,0,0,205,12,0,0.0,1.0
tcp,private,S0,0,0,199,3,0,1.0,0.0
tcp,http,SF,287,2251,3,7,1,0.0,0.0
tcp,ftp_data,SF,334,0,2,2,1,0.0,0.0
tcp,name,S0,0,0,233,1,0,1.0,0.0
tcp,netbios_ns,S0,0,0,96,16,0,1.0,0.0
tcp,http,SF,300,13788,8,9,1,0.0,0.0
icmp,eco_i,SF,18,0,1,1,0,0.0,0.0
tcp,http,SF,233,616,3,3,1,0.0,0.0
tcp,http,SF,343,1178,9,10,1,0.0,0.0
tcp,mtp,S0,0,0,223,23,0,1.0,0.0
tcp,private,S0,0,0,280,17,0,1.0,0.0
tcp,http,SF,253,11905,8,10,1,0.0,0.0
udp,other,SF,147,105,1,1,0,0.0,0.0
tcp,mtp,S0,0,0,248,2,0,1.0,0.0
tcp,telnet,SF,437,14421,1,1,1,0.0,0.0
tcp,private,S0,0,0,279,7,0,1.0,0.0
tcp,http,SF,227,6588,5,22,1,0.0,0.0
tcp,http,SF,215,10499,14,14,1,0.0,0.0
tcp,http,SF,241,1400,33,33,1,0.0,0.03
icmp,eco_i,SF,8,0,1,12,0,0.0,0.0
tcp,finger,S0,0,0,57,16,0,1.0,0.0
tcp,http,SF,303,555,9,9,1,0.0,0.0
tcp,private,REJ,0,0,2,1,0,0.0,1.0
udp,domain_u,SF,45,45,181,181,0,0.0,0.0
udp,private,SF,105,147,2,2,0,0.0,0.0
udp,domain_u,SF,43,43,122,202,0,0.0,0.0
tcp,supdup,S0,0,0,205,17,0,1.0,0.0
tcp,http,SF,324,2302,22,28,1,0.0,0.0
tcp,uucp_path,S0,0,0,228,13,0,1.0,0.0
tcp,ftp_data,S0,0,0,50,11,0,1.0,0.0
tcp,Z39_50,S0,0,0,262,12,0,1.0,0.0
tcp,smtp,SF,1591,372,1,2,1,0.0,0.0
udp,other,SF,146,105,4,2,0,0.0,0.0
tcp,http,SF,290,3006,11,11,1,0.0,0.0
tcp,csnet_ns,S0,0,0,108,11,0,1.0,0.0
udp,private,SF,28,0,80,80,0,0.0,0.0
tcp,http,SF,255,861,44,44,1,0.02,0.0
tcp,ftp_data,SF,334,0,2,2,1,0.0,0.0
tcp,ftp_data,S0,0,0,258,17,0,1.0,0.0
tcp,http,SF,302,498,10,10,1,0.0,0.0
tcp,private,REJ,0,0,61,4,0,0.0,1.0
udp,private,SF,28,0,2,2,0,0.0,0.0
tcp,http,SF,220,1398,26,42,1,0.0,0.0
udp,domain_u,SF,43,69,120,120,0,0.0,0.0
udp,domain_u,SF,44,133,73,75,0,0.0,0.0
icmp,eco_i,SF,8,0,1,15,0,0.0,0.0
tcp,uucp,S0,0,0,135,9,0,1.0,0.0
tcp,finger,S0,0,0,24,12,0,1.0,0.0
udp,domain_u,SF,43,43,148,228,0,0.0,0.0
tcp,ftp_data,SF,641,0,2,2,1,0.0,0.0
tcp,private,REJ,0,0,206,4,0,0.0,1.0
tcp,private,REJ,0,0,175,1,0,0.1,0.89
tcp,http,SF,310,2794,4,4,1,0.0,0.0
tcp,private,REJ,0,0,63,10,0,0.0,1.0
tcp,smtp,SF,696,333,1,1,1,0.0,0.0
tcp,netbios_dgm,RSTR,0,0,1,1,0,0.0,1.0
tcp,http,S0,0,0,52,19,0,1.0,0.0
tcp,netbios_dgm,REJ,0,0,125,7,0,0.0,1.0
tcp,supdup,S0,0,0,168,21,0,1.0,0.0
tcp,http,SF,221,2878,1,1,1,0.0,0.0
tcp,private,S0,0,0,145,16,0,1.0,0.0
icmp,urp_i,SF,181,0,3,2,0,0.0,0.0
udp,domain_u,SF,42,42,9,14,0,0.0,0.0
tcp,private,S0,0,0,138,6,0,1.0,0.0
tcp,ftp_data,SF,12,0,1,1,1,0.0,0.0
tcp,auth,S0,0,0,276,9,0,1.0,0.0
tcp,http,SF,210,2790,10,27,1,0.0,0.0
tcp,http,SF,321,5683,10,10,1,0.0,0.0
tcp,private,REJ,0,0,248,8,0,0.0,1.0
tcp,http,SF,329,3982,2,31,1,0.0,0.0
tcp,uucp_path,REJ,0,0,135,7,0,0.0,1.0
tcp,domain,S0,0,0,220,19,0,1.0,0.0
icmp,eco_i,SF,8,0,1,44,0,0.0,0.0
tcp,http,SF,320,379,9,9,1,0.0,0.0
tcp,private,S0,0,0,212,7,0,1.0,0.0
tcp,http,SF,225,3762,10,10,1,0.0,0.0
tcp,ftp,S0,0,0,250,13,0,1.0,0.0
tcp,private,REJ,0,0,132,15,0,0.0,1.0
